State,Week,Value
Idaho,23/12/2003,0
Idaho,31/12/2003,0
Idaho,09/01/2004,0
Idaho,16/01/2004,0
Idaho,23/01/2004,0
Idaho,30/01/2004,0
Idaho,06/02/2004,0
Idaho,13/02/2004,0
Idaho,20/02/2004,0
Idaho,27/02/2004,0
Idaho,05/03/2004,0
Idaho,12/03/2004,0
Idaho,19/03/2004,0
Idaho,26/03/2004,0
Idaho,02/04/2004,0
Idaho,08/04/2004,0
Idaho,16/04/2004,0
Idaho,23/04/2004,0
Idaho,30/04/2004,0
Idaho,07/05/2004,0
Idaho,14/05/2004,0
Idaho,21/05/2004,0
Idaho,28/05/2004,0
Idaho,04/06/2004,0
Idaho,11/06/2004,0
Idaho,18/06/2004,0
Idaho,25/06/2004,0
Idaho,02/07/2004,0
Idaho,09/07/2004,0
Idaho,16/07/2004,0
Idaho,23/07/2004,0
Idaho,30/07/2004,0
Idaho,06/08/2004,0
Idaho,13/08/2004,0
Idaho,20/08/2004,0
Idaho,27/08/2004,0
Idaho,03/09/2004,0
Idaho,10/09/2004,0
Idaho,17/09/2004,0
Idaho,24/09/2004,0
Idaho,01/10/2004,0
Idaho,08/10/2004,0
Idaho,15/10/2004,0
Idaho,22/10/2004,0
Idaho,29/10/2004,0
Idaho,05/11/2004,0
Idaho,12/11/2004,0
Idaho,19/11/2004,0
Idaho,24/11/2004,0
Idaho,03/12/2004,0
Idaho,10/12/2004,0
Idaho,17/12/2004,0
Idaho,23/12/2004,0
Idaho,31/12/2004,0
Idaho,07/01/2005,0
Idaho,14/01/2005,0
Idaho,21/01/2005,0
Idaho,28/01/2005,0
Idaho,04/02/2005,0
Idaho,11/02/2005,0
Idaho,18/02/2005,0
Idaho,25/02/2005,0
Idaho,04/03/2005,0
Idaho,11/03/2005,0
Idaho,18/03/2005,0
Idaho,24/03/2005,0
Idaho,01/04/2005,0
Idaho,08/04/2005,0
Idaho,15/04/2005,0
Idaho,22/04/2005,0
Idaho,29/04/2005,0
Idaho,06/05/2005,0
Idaho,13/05/2005,0
Idaho,20/05/2005,0
Idaho,27/05/2005,0
Idaho,03/06/2005,0
Idaho,10/06/2005,0
Idaho,17/06/2005,0
Idaho,24/06/2005,0
Idaho,01/07/2005,0
Idaho,08/07/2005,0
Idaho,15/07/2005,0
Idaho,22/07/2005,0
Idaho,29/07/2005,0
Idaho,05/08/2005,0
Idaho,12/08/2005,0
Idaho,19/08/2005,0
Idaho,26/08/2005,0
Idaho,02/09/2005,0
Idaho,09/09/2005,0
Idaho,16/09/2005,0
Idaho,23/09/2005,0
Idaho,30/09/2005,0
Idaho,07/10/2005,0
Idaho,14/10/2005,0
Idaho,21/10/2005,0
Idaho,28/10/2005,0
Idaho,04/11/2005,0
Idaho,11/11/2005,0
Idaho,18/11/2005,0
Idaho,23/11/2005,0
Idaho,02/12/2005,0
Idaho,09/12/2005,0
Idaho,16/12/2005,0
